,파라미터,구분,제조사,대표차명,모델명,연식
74,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B025"", ""menuModel"": ""C005"", ""menuPrye"": ""2004"", ""searchStr"": """"}",국산,현대,투싼,투싼,2004
75,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B025"", ""menuModel"": ""C006"", ""menuPrye"": ""2014"", ""searchStr"": """"}",국산,현대,투싼,투싼iX,2014
76,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B025"", ""menuModel"": ""C006"", ""menuPrye"": ""2013"", ""searchStr"": """"}",국산,현대,투싼,투싼iX,2013
77,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B025"", ""menuModel"": ""C006"", ""menuPrye"": ""2012"", ""searchStr"": """"}",국산,현대,투싼,투싼iX,2012
78,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B025"", ""menuModel"": ""C006"", ""menuPrye"": ""2011"", ""searchStr"": """"}",국산,현대,투싼,투싼iX,2011
79,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B025"", ""menuModel"": ""C006"", ""menuPrye"": ""2010"", ""searchStr"": """"}",국산,현대,투싼,투싼iX,2010
80,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B025"", ""menuModel"": ""C006"", ""menuPrye"": ""2009"", ""searchStr"": """"}",국산,현대,투싼,투싼iX,2009
81,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B026"", ""menuModel"": ""C001"", ""menuPrye"": ""2007"", ""searchStr"": """"}",국산,현대,트라제,트라제XG,2007
82,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B026"", ""menuModel"": ""C001"", ""menuPrye"": ""2006"", ""searchStr"": """"}",국산,현대,트라제,트라제XG,2006
83,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B026"", ""menuModel"": ""C001"", ""menuPrye"": ""2005"", ""searchStr"": """"}",국산,현대,트라제,트라제XG,2005
84,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B026"", ""menuModel"": ""C001"", ""menuPrye"": ""2004"", ""searchStr"": """"}",국산,현대,트라제,트라제XG,2004
85,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B026"", ""menuModel"": ""C001"", ""menuPrye"": ""2003"", ""searchStr"": """"}",국산,현대,트라제,트라제XG,2003
86,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B026"", ""menuModel"": ""C001"", ""menuPrye"": ""2002"", ""searchStr"": """"}",국산,현대,트라제,트라제XG,2002
87,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B026"", ""menuModel"": ""C001"", ""menuPrye"": ""2001"", ""searchStr"": """"}",국산,현대,트라제,트라제XG,2001
